,floral_host,bee_genus_species,imidacloprid_ppb,percent_days_paralyzed
0,SUNFLOWER,ANDRENA,20,0
1,SUNFLOWER,ANDRENA,100,100
2,HIVE,APIS,0,0
3,HIVE,APIS,0,0
4,HIVE,APIS,0,0
5,HIVE,APIS,0,20
6,HIVE,APIS,0,0
7,HIVE,APIS,0,0
8,HIVE,APIS,0,0
9,HIVE,APIS,0,0
10,HIVE,APIS,5,40
11,HIVE,APIS,5,38
12,HIVE,APIS,5,30
13,HIVE,APIS,5,40
14,HIVE,APIS,5,0
15,HIVE,APIS,5,8
16,HIVE,APIS,5,38
17,HIVE,APIS,5,0
18,HIVE,APIS,20,77
19,HIVE,APIS,20,15
20,HIVE,APIS,20,27
21,HIVE,APIS,20,27
22,HIVE,APIS,20,60
23,HIVE,APIS,20,53
24,HIVE,APIS,20,33
25,HIVE,APIS,20,80
26,HIVE,APIS,100,100
27,HIVE,APIS,100,0
28,HIVE,APIS,100,29
29,HIVE,APIS,100,43
30,HIVE,APIS,100,91
31,HIVE,APIS,100,93
32,HIVE,APIS,100,67
33,HIVE,APIS,100,73
34,HIVE,APIS,0,0
35,HIVE,APIS,0,0
36,HIVE,APIS,0,0
37,HIVE,APIS,0,0
38,HIVE,APIS,5,0
39,HIVE,APIS,5,0
40,HIVE,APIS,5,0
41,HIVE,APIS,5,0
42,HIVE,APIS,20,21
43,HIVE,APIS,20,21
44,HIVE,APIS,20,20
45,HIVE,APIS,20,13
46,HIVE,APIS,100,0
47,HIVE,APIS,100,62
48,HIVE,APIS,100,36
49,HIVE,APIS,100,27
50,HIVE,APIS,0,0
51,HIVE,APIS,0,0
52,HIVE,APIS,0,0
53,HIVE,APIS,0,0
54,HIVE,APIS,0,0
55,HIVE,APIS,0,0
56,HIVE,APIS,5,0
57,HIVE,APIS,5,0
58,HIVE,APIS,5,0
59,HIVE,APIS,5,0
60,HIVE,APIS,5,0
61,HIVE,APIS,5,0
62,HIVE,APIS,20,15
63,HIVE,APIS,20,0
64,HIVE,APIS,20,7
65,HIVE,APIS,20,7
66,HIVE,APIS,20,0
67,HIVE,APIS,20,0
68,HIVE,APIS,100,40
69,HIVE,APIS,100,0
70,HIVE,APIS,100,33
71,HIVE,APIS,100,13
72,HIVE,APIS,100,39
73,HIVE,APIS,100,15
74,HIVE,APIS,0,0
75,HIVE,APIS,0,0
76,HIVE,APIS,0,0
77,HIVE,APIS,0,0
78,HIVE,APIS,0,0
79,HIVE,APIS,5,0
80,HIVE,APIS,5,23
81,HIVE,APIS,5,21
82,HIVE,APIS,20,0
83,HIVE,APIS,20,0
84,HIVE,APIS,20,100
85,HIVE,APIS,20,18
86,HIVE,APIS,20,0
87,HIVE,APIS,100,0
88,HIVE,APIS,100,0
89,HIVE,APIS,100,100
90,HIVE,APIS,100,60
91,HIVE,APIS,100,67
92,CUCURBITA,APIS,5,0
93,CUCURBITA,APIS,5,8
94,CUCURBITA,APIS,100,67
95,CUCURBITA,APIS,100,64
96,CUCURBITA,APIS,0,0
97,CUCURBITA,APIS,5,0
98,CUCURBITA,APIS,5,40
99,CUCURBITA,APIS,5,0
100,CUCURBITA,APIS,20,25
101,CUCURBITA,APIS,100,0
102,CUCURBITA,APIS,100,75
103,CUCURBITA,APIS,100,100
104,SUNFLOWER,APIS,20,20
105,SUNFLOWER,APIS,0,0
106,SUNFLOWER,APIS,5,0
107,SUNFLOWER,APIS,20,0
108,SUNFLOWER,APIS,100,0
109,CUCURBITA,AUGOPOST,5,14
110,CUCURBITA,AUGOPOST,100,100
111,SUNFLOWER,AUGOPOST,20,79
112,SUNFLOWER,AUGOPOST,0,0
113,SUNFLOWER,AUGOPOST,20,0
114,OKRA,AUGOPOST,5,8
115,OKRA,AUGOPOST,20,14
116,OKRA,AUGOPOST,5,13
117,OKRA,AUGOPOST,100,70
118,CUCURBITA,BOMBUS,0,0
119,CUCURBITA,BOMBUS,0,10
120,CUCURBITA,BOMBUS,5,55
