,Year,Total Neonicotinoid Amount
0,1994,107901.44143593799
1,1995,599909.1154138714
2,1996,626012.4759557499
3,1997,683202.6843977956
4,1998,667852.3376904052
5,1999,671965.7333341616
6,2000,682276.4211293866
7,2001,879961.067135424
8,2002,1322392.6958624357
9,2003,1433578.2965897545
10,2004,2782613.384795477
11,2005,2930576.9363110685
12,2006,3156182.601502988
13,2007,3238219.1293156776
14,2008,3501858.8358762343
15,2009,3431578.6791937593
16,2010,3528454.5550009958
17,2011,3928645.127115583
18,2012,4452569.737629385
19,2013,4740189.123691849
20,2014,4934432.913135719
21,2015,3003761.3411306166
22,2016,2499576.031443556
23,2017,2805857.7873172634
